"","values","Interp","Kalman","Approx","Locf","MA","Seadec"
"1",5,36.1565978671693,25.9127694747309,28.9835888259161,111.200352997841,55.9063071686243,59.1970564567562
"2",6,36.2595689171537,25.4895154007488,29.0832431780346,111.292639684998,55.9848139922192,59.3496310943917
"3",7,30.2333152735775,38.8683517174525,37.8154373768919,112.532799213275,62.0298078445162,64.8697371702302
"4",8,30.7295009598978,39.0396014587229,38.1472191639474,112.810904646371,62.2344866877214,65.714394268673
"5",9,30.8466276721589,38.7909241276936,38.2331343561185,112.841606673254,62.2903434907844,65.7234471941716
"6",10,31.9583986854228,39.0370540328319,39.1374979303635,113.059498046907,63.172171725766,66.6675358251822
"7",11,59.5412254879327,60.840932289206,62.7223776501156,136.915329482574,88.1527998530241,105.541676095341
"8",12,61.7777630312832,60.8939368646949,63.1926970391069,142.12853078423,93.4573844219289,109.80854399499
"9",13,61.7777630312832,60.8939368646949,63.1926970391069,142.12853078423,93.4573844219289,109.80854399499
"10",14,61.8510997509715,61.1643263497006,63.347380726088,142.949076846411,93.537286710577,109.883237684294
"11",15,61.8510997509715,61.1643263497006,63.347380726088,142.949076846411,93.537286710577,109.883237684294
"12",16,61.9690349155295,61.2223168519831,63.4759945495069,144.055206598673,93.8198791335753,109.61531169451
"13",17,64.631650543425,61.7178154355566,65.0977202666308,145.979551134188,96.0918763790492,120.492714977993
"14",18,62.9524539470375,61.1385340012987,64.7345140672471,151.309728359578,94.9874940303573,114.013368612321
"15",19,62.9524539470375,61.1385340012987,64.7345140672471,151.309728359578,94.9874940303573,114.013368612321
"16",20,63.8640275416604,61.2485582999337,64.8287574529804,151.357907057458,95.0814215844123,114.038065498635
"17",21,64.3252862716174,61.4746167961674,64.9920131481142,151.459588455119,95.1779120651225,114.668116093367
"18",22,64.3252862716174,61.4746167961674,64.9920131481142,151.459588455119,95.1779120651225,114.668116093367
"19",23,65.2508873986024,63.224818831623,66.3331936794846,162.076781235579,97.7942906616207,116.218943616859
"20",24,65.2703290421106,63.2411325808531,66.3525299120606,162.084960167548,97.807021324802,117.393217075634
"21",25,65.8306278784689,63.1278884892891,66.2863296088906,166.982090244348,98.1487296805963,119.965844817155
"22",26,66.0191447585807,63.3615008180845,66.473554145987,167.079959860143,98.3614385729527,119.512600424339
"23",27,65.919701438973,66.6843283942567,68.506163728573,167.418182385137,100.469595754315,127.060458705141
"24",28,65.919701438973,66.6843283942567,68.506163728573,167.418182385137,100.469595754315,127.060458705141
"25",29,69.7297328410984,70.1884213121673,72.255955382046,172.580643006954,103.420477790482,141.364586898378
"26",30,69.7297328410984,70.1884213121673,72.255955382046,172.580643006954,103.420477790482,141.364586898378
"27",31,69.7485259421151,70.0836443712956,72.2772236289644,172.639244924913,103.455630743841,141.323459589889
"28",32,71.0556413079516,70.6098445059368,73.0004184679619,174.671162302531,103.779581021896,139.589791927232
"29",33,71.2466745019965,70.6140099328126,73.0887904846438,174.77610365796,103.869729255371,139.090328826128
"30",34,71.2466745019965,70.6140099328126,73.0887904846438,174.77610365796,103.869729255371,139.090328826128
"31",35,71.2639113831077,70.8675377583415,73.1045525643301,174.850290779125,103.906329806801,139.094218126634
"32",36,71.6381065259553,71.6475713471277,73.9412706420543,175.106148065805,104.529278770456,137.745011455804
"33",37,71.6381065259553,71.6475713471277,73.9412706420543,175.106148065805,104.529278770456,137.745011455804
"34",38,71.7158488624833,71.730924994448,74.0036040080401,175.178382467996,104.552760110363,137.901775277643
"35",39,71.8619836055849,71.6234388545005,73.9660180810793,175.135111221773,104.498241847635,137.550987502289
"36",40,75.6076336379617,73.5814839911658,75.334697110788,176.056470115967,104.788937168664,142.27312971121
"37",41,75.7421813181996,73.4060055695954,75.4171406038806,176.231039345435,105.111988929587,142.584307568891
"38",42,83.4995901511264,75.1847104160682,77.0110837161424,179.219619171784,107.311959558101,147.632416907196
"39",43,83.4995901511264,75.1847104160682,77.0110837161424,179.219619171784,107.311959558101,147.632416907196
"40",44,83.5079084382616,75.2933314475534,77.0178192310821,179.222513541285,107.315066143451,148.734774159741
"41",45,84.0083633162455,75.6295621630186,77.3820810076653,179.251173316306,107.592284259175,148.858547847147
"42",46,84.1954001118499,75.5964511405471,77.5004102671931,179.411308777917,107.612927399822,149.068211143246
"43",47,84.1954001118499,75.5964511405471,77.5004102671931,179.411308777917,107.612927399822,149.068211143246
"44",48,84.3143640817124,75.8991937484277,77.7224048555614,179.526120918502,107.900485679264,147.260127039932
"45",49,87.5211479814062,87.7001087300294,86.5181624065162,229.835932886777,149.208694912512,209.51806418996
"46",50,87.5211479814062,87.7001087300294,86.5181624065162,229.835932886777,149.208694912512,209.51806418996
