DATE,VOLATILITY,VOLATILITY_SAMEMONTH,VOLATILITY_LASTMONTH,VOLATILITY_LASTYEAR,VOLATILITY_SUM,PRICE_SAMEMONTH,PRICE_LASTMONTH,PRICE_LASTYEAR,PRICE_SUM,SUM
2016-01-01,0.0437720752764354,1.0,0.0,0.0,1.0,0,0,0,0,1.0
2016-02-01,0.0184575335999306,2.0,0.0,0.0,2.0,0,0,0,0,2.0
2016-03-01,0.0526972086783125,3.0,1.0,0.0,4.0,0,0,0,0,4.0
2016-04-01,0.0264215136768244,4.0,1.0,0.0,5.0,0,1,0,1,6.0
2016-05-01,0.0094368887505593,4.0,1.0,0.0,5.0,3,4,0,7,12.0
2016-06-01,0.0091439492070979,4.0,1.0,0.0,5.0,5,6,0,11,16.0
2016-07-01,0.0301768895290105,5.0,2.0,0.0,7.0,7,6,0,13,20.0
2016-08-01,0.0,5.0,2.0,0.0,7.0,7,6,0,13,20.0
2016-09-01,0.0,5.0,2.0,0.0,7.0,6,6,0,12,19.0
2016-10-01,0.0,5.0,2.0,0.0,7.0,2,5,0,7,14.0
2016-11-01,0.0,5.0,2.0,0.0,7.0,2,5,0,7,14.0
2016-12-01,0.0,5.0,2.0,0.0,7.0,0,5,0,5,12.0
2017-01-01,0.0,4.0,2.0,0.0,6.0,0,5,0,5,11.0
2017-02-01,0.0,3.0,2.0,0.0,5.0,0,1,0,1,6.0
2017-03-01,0.0365776316551826,3.0,2.0,1.0,6.0,0,0,0,0,6.0
2017-04-01,0.0,2.0,2.0,1.0,5.0,0,0,2,2,7.0
2017-05-01,0.0125269614588283,3.0,2.0,1.0,6.0,1,1,2,4,10.0
2017-06-01,0.0,3.0,2.0,1.0,6.0,1,1,2,4,10.0
2017-07-01,0.0095197395358464,3.0,1.0,1.0,5.0,1,2,3,6,11.0
2017-08-01,0.0,3.0,1.0,1.0,5.0,1,4,8,13,18.0
2017-09-01,0.0022345376790081,3.0,1.0,1.0,5.0,2,6,10,18,23.0
2017-10-01,0.0183380005309616,4.0,2.0,2.0,8.0,4,9,14,27,35.0
2017-11-01,0.0032555644589518,4.0,2.0,2.0,8.0,4,11,19,34,42.0
2017-12-01,0.0030883091670751,4.0,2.0,2.0,8.0,4,9,20,33,41.0
2018-01-01,0.0046471233387754,5.0,2.0,3.0,10.0,4,9,21,34,44.0
2018-02-01,0.0039616080965687,6.0,2.0,3.0,11.0,0,5,20,25,36.0
2018-03-01,0.0020004302288341,5.0,1.0,2.0,8.0,0,1,20,21,29.0
2018-04-01,0.0048106685767764,6.0,1.0,2.0,9.0,0,1,18,19,28.0
2018-05-01,0.0,5.0,1.0,2.0,8.0,0,0,14,14,22.0
2018-06-01,0.0259351766549089,6.0,2.0,3.0,11.0,0,0,10,10,21.0
2018-07-01,0.0,5.0,2.0,3.0,10.0,0,0,6,6,16.0
2018-08-01,0.0,5.0,2.0,3.0,10.0,0,0,3,3,13.0
2018-09-01,0.0126634719580492,6.0,3.0,3.0,12.0,0,0,2,2,14.0
2018-10-01,0.0,5.0,2.0,2.0,9.0,0,0,2,2,11.0
2018-11-01,0.0,5.0,2.0,2.0,9.0,0,0,2,2,11.0
2018-12-01,0.0,5.0,2.0,2.0,9.0,0,0,0,0,9.0
2019-01-01,0.0,4.0,2.0,1.0,7.0,0,0,0,0,7.0
2019-02-01,0.0,3.0,2.0,1.0,6.0,1,1,0,2,8.0
2019-03-01,0.0,3.0,2.0,1.0,6.0,5,5,0,10,16.0
2019-04-01,0.0,2.0,2.0,1.0,5.0,8,10,1,19,24.0
2019-05-01,0.0,2.0,2.0,1.0,5.0,12,14,1,27,32.0
2019-06-01,0.0,1.0,1.0,0.0,2.0,16,18,3,37,39.0
2019-07-01,0.0,1.0,1.0,0.0,2.0,18,20,8,46,48.0
2019-08-01,0.0,1.0,1.0,0.0,2.0,18,20,11,49,51.0
2019-09-01,0.0207643294538964,1.0,1.0,1.0,3.0,20,20,15,55,58.0
2019-10-01,0.0,1.0,1.0,1.0,3.0,20,20,20,60,63.0
2019-11-01,0.0,1.0,1.0,1.0,3.0,20,20,20,60,63.0
2019-12-01,0.0,1.0,1.0,1.0,3.0,20,20,20,60,63.0
2020-01-01,0.0,1.0,1.0,1.0,3.0,20,20,20,60,63.0
2020-02-01,0.0,1.0,1.0,1.0,3.0,18,20,20,58,61.0
2020-03-01,0.0,1.0,1.0,1.0,3.0,13,18,19,50,53.0
2020-04-01,0.0,1.0,1.0,1.0,3.0,9,14,20,43,46.0
2020-05-01,0.0,1.0,1.0,1.0,3.0,5,10,20,35,38.0
2020-06-01,0.0,1.0,1.0,1.0,3.0,0,5,20,25,28.0
2020-07-01,0.0,1.0,1.0,1.0,3.0,0,1,20,21,24.0
2020-08-01,0.0419036652275528,2.0,2.0,2.0,6.0,0,0,20,20,26.0
2020-09-01,0.0,1.0,1.0,1.0,3.0,0,0,20,20,23.0
2020-10-01,0.016929631597749,2.0,2.0,2.0,6.0,0,3,20,23,29.0
2020-11-01,0.0,2.0,2.0,2.0,6.0,0,3,20,23,29.0
2020-12-01,0.0,2.0,2.0,2.0,6.0,0,3,20,23,29.0
2021-01-01,0.0084762333425176,2.0,3.0,2.0,7.0,0,3,20,23,30.0
2021-02-01,0.046463903736703,3.0,4.0,3.0,10.0,0,3,21,24,34.0
2021-03-01,0.0094926046639772,3.0,4.0,3.0,10.0,0,0,20,20,30.0
2021-04-01,0.0189543293843505,3.0,5.0,3.0,11.0,0,0,20,20,31.0
2021-05-01,0.0010481040960972,3.0,5.0,3.0,11.0,0,0,19,19,30.0
2021-06-01,0.000180608884602,3.0,5.0,3.0,11.0,0,0,20,20,31.0
