DATE,VOLATILITY,SAMEMONTH,LASTMONTH,LASTYEAR
2016-01-01,0.009023942629006,Normal,Normal,Normal
2016-02-01,0.0,Normal,Normal,Normal
2016-03-01,0.008539515893911,Normal,Normal,Normal
2016-04-01,0.0,Normal,Normal,Normal
2016-05-01,0.0,Normal,Normal,Normal
2016-06-01,0.0,Normal,Normal,Normal
2016-07-01,0.0,Normal,Normal,Normal
2016-08-01,0.0083543680170927,Normal,Normal,Normal
2016-09-01,0.0,Normal,Normal,Normal
2016-10-01,0.0,Normal,Normal,Normal
2016-11-01,0.0,Normal,Normal,Normal
2016-12-01,0.0,Normal,Normal,Normal
2017-01-01,0.0,Normal,Normal,Normal
2017-02-01,0.0172380924797687,Anomaly,Normal,Normal
2017-03-01,0.0131180753233692,Normal,Anomaly,Normal
2017-04-01,0.0,Normal,Normal,Normal
2017-05-01,0.0,Normal,Normal,Normal
2017-06-01,0.0,Normal,Normal,Normal
2017-07-01,0.0,Normal,Normal,Normal
2017-08-01,0.0,Normal,Normal,Normal
2017-09-01,0.0274520293152353,Anomaly,Anomaly,Normal
2017-10-01,0.0058429617424241,Normal,Normal,Normal
2017-11-01,0.03803588643476,Anomaly,Anomaly,Anomaly
2017-12-01,0.0,Normal,Normal,Normal
2018-01-01,0.0,Normal,Normal,Normal
2018-02-01,0.0209689623609542,Anomaly,Anomaly,Normal
2018-03-01,0.0239828675635938,Anomaly,Anomaly,Anomaly
2018-04-01,0.023875475479606,Anomaly,Anomaly,Normal
2018-05-01,0.0169847150734695,Anomaly,Anomaly,Normal
2018-06-01,0.0,Normal,Normal,Normal
2018-07-01,0.0142695739232401,Anomaly,Normal,Anomaly
2018-08-01,0.0,Normal,Normal,Normal
2018-09-01,0.00828535120972,Normal,Anomaly,Normal
2018-10-01,0.0045458967595748,Normal,Normal,Normal
2018-11-01,0.0016602684374209,Normal,Normal,Normal
2018-12-01,0.0188685324417074,Anomaly,Anomaly,Anomaly
2019-01-01,0.0211170775684272,Anomaly,Anomaly,Anomaly
2019-02-01,0.0,Normal,Normal,Normal
2019-03-01,0.0021699915670862,Normal,Normal,Normal
2019-04-01,0.0023042598128109,Normal,Normal,Normal
2019-05-01,0.0,Normal,Normal,Normal
2019-06-01,0.0,Normal,Normal,Normal
2019-07-01,0.0177098290807119,Anomaly,Anomaly,Anomaly
2019-08-01,0.0,Normal,Normal,Normal
2019-09-01,0.0,Normal,Normal,Normal
2019-10-01,0.0029834440557348,Normal,Normal,Normal
2019-11-01,0.0094485482842346,Anomaly,Anomaly,Normal
2019-12-01,0.004103826972889,Normal,Normal,Normal
2020-01-01,0.0080967505039619,Normal,Normal,Anomaly
2020-02-01,0.0074483428704153,Normal,Normal,Normal
2020-03-01,0.0229460489200313,Anomaly,Normal,Anomaly
2020-04-01,0.0160736939549513,Normal,Normal,Normal
2020-05-01,0.0163746159943986,Normal,Normal,Anomaly
2020-06-01,0.0256129357314084,Anomaly,Anomaly,Anomaly
2020-07-01,0.0203921209715719,Normal,Anomaly,Anomaly
2020-08-01,,Normal,Normal,Normal
